name,building
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
Michael Graves & Associates,yes
,house
RE/MAX of Princeton,yes
,house
Michael Graves Design Group,retail
,house
Eastridge Design Home,retail
,house
,yes
,yes
,yes
,house
,yes
,yes
,yes
,house
,yes
,yes
,house
,house
,garage
,house
,house
,house
,house
,yes
The McCarthy Building,yes
Patricia's Hair Design,yes
,yes
,yes
,house
,yes
,yes
,house
,yes
,yes
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,residential
,house
,yes
,yes
,house
Merrill Lynch,retail
,yes
,house
,house
Princeton Hook and Ladder Company,yes
,house
,house
,yes
,yes
,yes
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,residential
361 Design Group,yes
,residential
North End Bistro,yes
,house
,yes
,yes
,house
,yes
Bank of America,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,school
,house
,yes
,house
,yes
,house
,residential
,residential
,residential
,house
,residential
,residential
,house
,house
,residential
,house
,house
Lutheran Church of the Messiah,church
,yes
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,yes
,residential
,residential
,residential
,residential
,residential
,residential
,residential
,residential
,residential
,residential
,house
,residential
,house
,residential
,residential
,residential
,residential
,house
,house
,house
,residential
,house
,house
,house
,house
,house
,house
,house
,house
,residential
,house
,house
,house
,house
,house
,house
,house
,residential
,residential
,residential
,residential
,residential
,yes
,residential
,residential
,residential
,residential
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,residential
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,yes
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,house
,residential
,house
,residential
,house
,house
,house
,house
,house
,house
,house
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,yes
,house
,house
,house
,house
